Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
202;11/06/2007 6:28;932000;77666;77;VERDADERO;480;FALSO
203;27/09/2000 8:00;134200;11183;65;FALSO;110;FALSO
204;21/03/1997 19:45;413000;34416;96;FALSO;180;VERDADERO
205;06/04/2012 12:57;550000;45833;60;VERDADERO;120;FALSO
206;25/07/2001 17:54;838100;69841;77;FALSO;120;FALSO
207;16/08/2011 2:30;866700;72225;90;VERDADERO;220;FALSO
208;22/12/2010 20:29;633000;52750;26;FALSO;70;VERDADERO
209;25/03/2002 7:12;477700;39808;95;VERDADERO;270;VERDADERO
210;19/09/2007 12:00;296200;24683;12;FALSO;90;VERDADERO
211;19/08/1991 8:12;681200;56766;95;FALSO;310;FALSO
212;08/07/1993 12:29;410000;34166;65;VERDADERO;360;VERDADERO
213;06/11/2009 19:19;369400;30783;61;VERDADERO;60;VERDADERO
214;06/04/2004 22:44;179000;14916;75;FALSO;430;VERDADERO
215;10/01/2012 1:23;303200;25266;32;FALSO;240;FALSO
216;28/12/1995 14:24;946800;78900;40;FALSO;40;FALSO
217;25/11/2003 0:37;259000;21583;34;VERDADERO;430;VERDADERO
218;22/07/2004 12:07;717800;59816;82;FALSO;230;VERDADERO
219;25/12/2000 8:18;573100;47758;97;FALSO;260;FALSO
220;26/05/2004 6:15;180600;15050;98;VERDADERO;290;VERDADERO
221;11/07/1994 5:47;780200;65016;15;VERDADERO;340;FALSO
222;18/06/1999 7:39;108200;9016;78;VERDADERO;410;FALSO
223;24/08/2003 1:50;813000;67750;30;FALSO;170;VERDADERO
224;31/03/1990 19:21;424700;35391;17;FALSO;490;FALSO
225;26/01/2001 9:51;667600;55633;56;FALSO;180;FALSO
226;27/06/1990 15:41;268900;22408;78;VERDADERO;350;VERDADERO
227;30/10/2009 19:11;541600;45133;58;FALSO;390;VERDADERO
228;03/05/2009 12:33;628900;52408;15;FALSO;310;VERDADERO
229;25/09/1990 19:36;873300;72775;60;FALSO;90;VERDADERO
230;11/03/2001 5:53;769000;64083;15;VERDADERO;110;FALSO
231;07/03/2002 20:38;890700;74225;99;VERDADERO;150;FALSO
232;19/12/2004 8:14;195500;16291;62;VERDADERO;380;FALSO
233;16/01/1998 20:49;920500;76708;20;VERDADERO;120;VERDADERO
234;28/08/1990 11:35;787200;65600;95;VERDADERO;110;FALSO
235;21/12/1996 22:17;391400;32616;25;FALSO;450;FALSO
236;11/08/1996 3:39;821800;68483;50;FALSO;150;VERDADERO
237;16/09/2001 16:58;252300;21025;88;VERDADERO;440;VERDADERO
238;25/06/1992 7:04;192100;16008;33;VERDADERO;460;VERDADERO
239;03/07/2005 16:38;281500;23458;43;FALSO;420;FALSO
240;14/10/2006 13:38;811400;67616;57;VERDADERO;340;VERDADERO
241;23/03/2012 7:52;126300;10525;17;VERDADERO;420;VERDADERO
242;03/06/1990 17:05;521600;43466;36;VERDADERO;90;FALSO
243;13/01/1994 19:38;251600;20966;99;VERDADERO;20;VERDADERO
244;31/12/1994 11:23;951400;79283;14;VERDADERO;260;FALSO
245;22/07/1990 18:20;586500;48875;73;VERDADERO;190;FALSO
246;15/05/2003 11:56;726900;60575;33;VERDADERO;230;FALSO
247;07/11/1995 7:04;701000;58416;66;FALSO;380;FALSO
248;23/10/2004 8:57;951800;79316;80;FALSO;450;FALSO
249;08/02/2011 6:59;702200;58516;93;VERDADERO;130;FALSO
250;14/01/1995 11:29;927900;77325;33;VERDADERO;50;FALSO
251;27/05/2007 10:17;871000;72583;44;VERDADERO;70;VERDADERO
252;28/06/2005 19:36;727900;60658;80;FALSO;350;FALSO
253;09/04/1998 10:14;988900;82408;49;FALSO;490;VERDADERO
254;07/12/1995 6:37;231200;19266;37;VERDADERO;60;FALSO
255;08/06/2003 21:46;203800;16983;31;VERDADERO;250;FALSO
256;25/06/1991 20:56;189700;15808;69;FALSO;490;FALSO
257;21/05/2009 1:57;993600;82800;89;FALSO;410;FALSO
258;22/06/1999 16:19;462600;38550;60;VERDADERO;20;FALSO
259;20/02/1990 12:38;949200;79100;58;VERDADERO;20;FALSO
260;01/05/2012 1:57;619500;51625;87;FALSO;210;VERDADERO
261;11/05/1991 21:38;983300;81941;13;FALSO;40;VERDADERO
262;10/09/2010 17:13;422900;35241;99;FALSO;360;VERDADERO
263;19/07/2000 2:15;971800;80983;14;VERDADERO;140;FALSO
264;01/12/1991 6:40;253600;21133;64;FALSO;350;VERDADERO
265;14/08/2011 11:04;878200;73183;12;FALSO;170;FALSO
266;25/08/2010 10:32;609700;50808;16;VERDADERO;150;VERDADERO
267;10/08/2007 22:01;256300;21358;39;VERDADERO;230;FALSO
268;29/09/1990 3:00;625100;52091;16;FALSO;270;VERDADERO
269;21/05/1994 0:01;361600;30133;69;VERDADERO;210;VERDADERO
270;11/07/1997 15:28;590600;49216;43;FALSO;340;FALSO
271;13/12/2003 20:56;609200;50766;45;FALSO;390;VERDADERO
272;01/01/1998 21:50;726600;60550;87;FALSO;470;FALSO
273;15/09/2007 11:04;277100;23091;78;VERDADERO;20;FALSO
274;24/01/2004 22:54;923000;76916;52;FALSO;180;VERDADERO
275;26/10/2005 23:57;179000;14916;73;VERDADERO;70;FALSO
276;03/01/2000 10:40;829600;69133;35;FALSO;240;FALSO
277;15/01/1990 7:08;968600;80716;60;FALSO;470;FALSO
278;11/10/1996 2:12;136500;11375;58;VERDADERO;190;FALSO
279;18/10/1993 14:58;574700;47891;93;FALSO;470;FALSO
280;04/02/1991 1:20;299900;24991;72;FALSO;70;VERDADERO
281;24/08/1996 4:01;647500;53958;10;VERDADERO;450;FALSO
282;11/07/2007 14:29;581500;48458;73;VERDADERO;250;FALSO
283;30/10/1994 14:18;125100;10425;86;FALSO;280;FALSO
284;11/02/1996 6:32;780500;65041;62;VERDADERO;220;VERDADERO
285;06/09/1993 21:00;752800;62733;34;VERDADERO;380;FALSO
286;03/06/2011 9:56;244200;20350;90;FALSO;170;FALSO
287;09/08/1999 6:27;862600;71883;21;VERDADERO;30;FALSO
288;02/04/2002 14:55;757500;63125;34;FALSO;440;VERDADERO
289;26/08/1991 8:22;632000;52666;91;VERDADERO;70;VERDADERO
290;12/04/1997 9:55;924500;77041;44;FALSO;240;FALSO
291;30/04/2003 9:55;315300;26275;78;VERDADERO;400;FALSO
292;25/08/1992 4:50;610700;50891;13;VERDADERO;430;FALSO
293;08/02/2004 18:39;391100;32591;73;VERDADERO;330;FALSO
294;07/03/1995 4:16;992400;82700;63;VERDADERO;10;VERDADERO
295;03/06/1990 20:54;364100;30341;80;VERDADERO;350;VERDADERO
296;24/12/2003 0:34;111900;9325;45;FALSO;40;FALSO
297;15/02/2011 20:46;162100;13508;38;VERDADERO;450;FALSO
298;29/07/1999 17:44;189500;15791;77;VERDADERO;50;VERDADERO
299;08/09/2005 5:13;155000;12916;33;FALSO;350;FALSO
300;26/01/1997 14:28;849100;70758;77;VERDADERO;170;FALSO
301;02/12/1994 8:53;925100;77091;85;VERDADERO;160;VERDADERO
302;08/05/2002 7:13;974400;81200;83;FALSO;110;FALSO
303;03/10/1993 5:01;341700;28475;43;FALSO;20;VERDADERO
304;18/04/2006 5:10;364600;30383;17;VERDADERO;100;FALSO
305;03/02/2002 8:47;635200;52933;21;VERDADERO;280;FALSO
306;24/02/1991 21:45;816700;68058;19;FALSO;180;FALSO
307;16/02/2000 5:45;939800;78316;77;VERDADERO;210;FALSO
308;03/08/1991 1:40;468300;39025;27;FALSO;400;VERDADERO
309;10/09/2010 18:20;676500;56375;56;VERDADERO;280;VERDADERO
310;15/02/1992 5:05;991500;82625;62;FALSO;400;FALSO
311;30/05/1997 21:48;739600;61633;30;VERDADERO;460;FALSO
312;31/05/2009 8:29;384300;32025;84;VERDADERO;140;FALSO
313;28/12/2006 8:32;515700;42975;64;FALSO;250;VERDADERO
314;06/03/2001 13:14;471700;39308;82;FALSO;240;VERDADERO
315;31/03/1996 17:25;191500;15958;55;FALSO;310;FALSO
316;23/05/2002 3:18;218200;18183;14;FALSO;240;VERDADERO
317;16/11/2011 4:29;329300;27441;18;FALSO;130;FALSO
318;06/08/1997 23:17;732300;61025;27;FALSO;270;FALSO
319;06/01/2003 4:03;822700;68558;74;FALSO;60;VERDADERO
320;09/03/1995 1:33;549800;45816;45;FALSO;380;VERDADERO
321;09/02/2008 12:27;880000;73333;68;VERDADERO;240;VERDADERO
322;13/12/1998 11:17;166900;13908;54;VERDADERO;390;FALSO
323;06/04/1993 0:29;326700;27225;91;VERDADERO;20;FALSO
324;06/01/2001 12:52;425600;35466;82;VERDADERO;280;VERDADERO
325;29/11/1995 11:20;417600;34800;48;FALSO;280;VERDADERO
326;21/03/1998 16:13;256600;21383;38;FALSO;280;FALSO
327;24/10/2009 5:38;968900;80741;77;VERDADERO;390;VERDADERO
328;22/12/1996 23:46;566800;47233;69;FALSO;360;VERDADERO
329;23/04/1996 19:51;993600;82800;39;FALSO;10;FALSO
330;11/01/2011 16:46;177600;14800;76;FALSO;30;FALSO
331;17/08/2009 21:49;295900;24658;17;VERDADERO;150;FALSO
332;22/06/2001 16:10;434900;36241;94;FALSO;140;VERDADERO
333;06/02/1995 2:59;905700;75475;27;FALSO;440;VERDADERO
334;19/04/2000 20:24;875100;72925;30;VERDADERO;420;FALSO
335;01/12/2000 13:19;906500;75541;57;VERDADERO;280;FALSO
336;30/10/2004 10:18;386900;32241;68;FALSO;200;FALSO
337;22/07/2012 7:54;215000;17916;56;VERDADERO;250;VERDADERO
338;17/05/2005 19:33;790300;65858;95;FALSO;190;FALSO
339;18/01/2008 3:22;325800;27150;67;FALSO;300;FALSO
340;02/05/2011 18:32;623500;51958;42;FALSO;330;VERDADERO
341;02/10/1996 5:34;928000;77333;74;FALSO;320;VERDADERO
342;10/04/2012 9:25;561400;46783;50;FALSO;450;FALSO
343;07/09/2008 19:21;276500;23041;35;VERDADERO;30;FALSO
344;12/08/2002 9:30;178200;14850;88;FALSO;320;VERDADERO
345;11/09/1997 11:23;448500;37375;51;VERDADERO;180;FALSO
346;11/03/1990 3:18;295900;24658;26;VERDADERO;350;VERDADERO
347;22/11/2002 7:51;894800;74566;60;FALSO;130;FALSO
348;24/10/2004 2:08;123400;10283;15;FALSO;140;FALSO
349;16/02/2005 10:46;235900;19658;47;VERDADERO;140;FALSO
350;20/09/2010 18:18;427500;35625;65;FALSO;260;FALSO
351;07/02/2007 18:47;758100;63175;73;VERDADERO;460;FALSO
352;10/09/2008 5:51;270800;22566;25;FALSO;150;FALSO
353;08/02/2004 2:42;321400;26783;44;VERDADERO;40;FALSO
354;18/02/1990 0:14;596000;49666;56;VERDADERO;380;VERDADERO
355;06/05/1994 1:34;697300;58108;76;FALSO;340;VERDADERO
356;24/08/1995 2:31;245100;20425;36;VERDADERO;480;VERDADERO
357;13/08/2010 20:18;224400;18700;83;VERDADERO;210;VERDADERO
358;29/06/1993 21:22;533400;44450;52;FALSO;380;FALSO
359;13/01/1993 3:46;453300;37775;29;VERDADERO;250;VERDADERO
360;25/08/1994 5:14;715800;59650;41;VERDADERO;310;VERDADERO
361;14/04/2008 12:09;657800;54816;48;VERDADERO;200;VERDADERO
362;10/02/1994 2:39;544800;45400;15;VERDADERO;150;VERDADERO
363;28/12/1994 15:06;336600;28050;40;VERDADERO;120;VERDADERO
364;24/02/2006 12:38;158000;13166;73;VERDADERO;260;FALSO
365;07/05/2011 6:54;399600;33300;28;FALSO;240;FALSO
366;17/09/1997 20:12;343300;28608;18;FALSO;210;VERDADERO
367;24/07/1991 9:42;235900;19658;45;FALSO;340;FALSO
368;04/04/1991 8:20;389400;32450;10;FALSO;380;FALSO
369;02/01/2006 1:22;760000;63333;56;FALSO;10;VERDADERO
370;19/12/1991 11:43;275900;22991;94;FALSO;460;VERDADERO
371;23/03/1997 6:55;585000;48750;28;VERDADERO;10;VERDADERO
372;09/07/2007 14:02;805100;67091;60;FALSO;460;FALSO
373;07/11/2002 10:13;907500;75625;26;VERDADERO;490;FALSO
374;08/07/2010 2:31;445600;37133;57;FALSO;190;FALSO
375;14/10/2007 3:38;712400;59366;11;FALSO;40;FALSO
376;06/02/1995 2:12;480800;40066;25;FALSO;110;VERDADERO
377;27/11/2006 2:57;688800;57400;83;FALSO;130;FALSO
378;21/10/2000 3:33;127200;10600;47;VERDADERO;90;FALSO
379;22/03/1999 12:01;762200;63516;53;FALSO;310;VERDADERO
380;12/12/1991 7:07;139300;11608;91;VERDADERO;220;VERDADERO
381;11/10/1998 15:51;526100;43841;40;FALSO;200;VERDADERO
382;26/08/1997 19:33;303800;25316;53;VERDADERO;170;VERDADERO
383;25/07/1994 3:35;495600;41300;22;FALSO;70;VERDADERO
384;11/05/2009 22:33;756400;63033;20;VERDADERO;330;FALSO
385;28/11/1990 12:35;644300;53691;30;FALSO;340;VERDADERO
386;08/11/2001 20:31;344400;28700;36;VERDADERO;10;VERDADERO
387;24/02/2000 12:21;624800;52066;40;FALSO;30;FALSO
388;28/05/1991 0:37;645300;53775;69;FALSO;160;VERDADERO
389;30/08/2007 13:09;445600;37133;37;VERDADERO;80;VERDADERO
390;17/04/1992 1:12;730200;60850;60;FALSO;430;FALSO
391;09/03/2001 21:22;612000;51000;64;FALSO;170;FALSO
392;16/12/2003 2:19;757100;63091;77;VERDADERO;80;FALSO
393;17/05/2000 11:02;983800;81983;65;FALSO;420;FALSO
394;22/03/2010 4:49;406700;33891;74;VERDADERO;310;VERDADERO
395;05/07/2001 11:23;690000;57500;15;FALSO;100;VERDADERO
396;10/04/2010 21:48;847000;70583;52;VERDADERO;120;VERDADERO
397;15/11/2007 1:25;761700;63475;43;VERDADERO;200;FALSO
398;12/10/2000 23:13;269600;22466;46;VERDADERO;330;VERDADERO
399;17/07/1995 11:24;999500;83291;30;VERDADERO;450;VERDADERO
